2019-05-18 10:47:07,506 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.8131, device='cuda:0')
2019-05-18 14:38:30,670 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 39, layer number 30, loss= tensor(0.1045, device='cuda:0')
2019-05-18 14:39:33,441 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 40, layer number 30, loss= tensor(0.0990, device='cuda:0')
2019-05-18 14:40:36,207 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 41, layer number 30, loss= tensor(0.0929, device='cuda:0')
2019-05-18 14:41:39,409 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 42, layer number 30, loss= tensor(0.0853, device='cuda:0')
2019-05-18 14:42:42,433 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 43, layer number 30, loss= tensor(0.0828, device='cuda:0')
2019-05-18 14:43:45,542 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 44, layer number 30, loss= tensor(0.0801, device='cuda:0')
2019-05-18 14:44:47,545 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 45, layer number 30, loss= tensor(0.0806, device='cuda:0')
2019-05-18 14:45:50,328 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 46, layer number 30, loss= tensor(0.0784, device='cuda:0')
2019-05-18 14:46:53,880 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 47, layer number 30, loss= tensor(0.0759, device='cuda:0')
2019-05-18 14:47:55,868 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 48, layer number 30, loss= tensor(0.0748, device='cuda:0')
2019-05-18 14:48:57,508 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 49, layer number 30, loss= tensor(0.0743, device='cuda:0')
2019-05-18 14:50:00,473 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 50, layer number 30, loss= tensor(0.0707, device='cuda:0')
2019-05-18 14:51:02,598 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 51, layer number 30, loss= tensor(0.0685, device='cuda:0')
2019-05-18 14:52:05,326 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 52, layer number 30, loss= tensor(0.0657, device='cuda:0')
2019-05-18 14:53:15,013 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 53, layer number 30, loss= tensor(0.0631, device='cuda:0')
2019-05-18 14:54:19,993 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 54, layer number 30, loss= tensor(0.0601, device='cuda:0')
2019-05-18 14:55:31,131 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 55, layer number 30, loss= tensor(0.0578, device='cuda:0')
2019-05-18 14:56:37,756 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 56, layer number 30, loss= tensor(0.0565, device='cuda:0')
2019-05-18 15:05:50,885 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 57, layer number 30, loss= tensor(0.0547, device='cuda:0')
2019-05-18 15:14:59,349 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 58, layer number 30, loss= tensor(0.0521, device='cuda:0')
2019-05-18 15:24:16,712 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 59, layer number 30, loss= tensor(0.0511, device='cuda:0')
2019-05-18 15:33:37,091 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 60, layer number 30, loss= tensor(0.0486, device='cuda:0')
2019-05-18 15:42:53,051 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 61, layer number 30, loss= tensor(0.0459, device='cuda:0')
2019-05-18 15:52:04,994 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 62, layer number 30, loss= tensor(0.0456, device='cuda:0')
2019-05-18 16:01:24,136 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 63, layer number 30, loss= tensor(0.0435, device='cuda:0')
2019-05-18 16:10:51,088 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 64, layer number 30, loss= tensor(0.0419, device='cuda:0')
2019-05-18 16:20:11,288 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 65, layer number 30, loss= tensor(0.0399, device='cuda:0')
2019-05-18 16:29:38,803 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 66, layer number 30, loss= tensor(0.0397, device='cuda:0')
2019-05-18 16:39:05,538 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 67, layer number 30, loss= tensor(0.0378, device='cuda:0')
2019-05-18 16:48:27,322 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 68, layer number 30, loss= tensor(0.0365, device='cuda:0')
2019-05-18 16:57:40,816 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 69, layer number 30, loss= tensor(0.0357, device='cuda:0')
2019-05-18 17:07:06,656 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 70, layer number 30, loss= tensor(0.0350, device='cuda:0')
2019-05-18 17:16:45,521 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 71, layer number 30, loss= tensor(0.0345, device='cuda:0')
2019-05-18 17:26:45,671 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 72, layer number 30, loss= tensor(0.0333, device='cuda:0')
2019-05-18 17:36:05,122 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 73, layer number 30, loss= tensor(0.0315, device='cuda:0')
2019-05-18 17:45:19,966 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 74, layer number 30, loss= tensor(0.0315, device='cuda:0')
2019-05-18 17:54:50,789 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 75, layer number 30, loss= tensor(0.0303, device='cuda:0')
2019-05-18 18:04:32,293 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 76, layer number 30, loss= tensor(0.0288, device='cuda:0')
2019-05-18 18:13:52,318 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 77, layer number 30, loss= tensor(0.0288, device='cuda:0')
2019-05-18 18:23:13,297 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 78, layer number 30, loss= tensor(0.0284, device='cuda:0')
2019-05-18 18:32:43,191 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 79, layer number 30, loss= tensor(0.0274, device='cuda:0')
2019-05-18 18:42:12,704 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 80, layer number 30, loss= tensor(0.0272, device='cuda:0')
2019-05-18 18:51:31,977 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 81, layer number 30, loss= tensor(0.0260, device='cuda:0')
2019-05-18 19:00:53,664 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 82, layer number 30, loss= tensor(0.0261, device='cuda:0')
2019-05-18 19:10:07,140 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 83, layer number 30, loss= tensor(0.0254, device='cuda:0')
2019-05-18 19:19:21,442 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 84, layer number 30, loss= tensor(0.0257, device='cuda:0')
2019-05-18 19:28:43,256 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 85, layer number 30, loss= tensor(0.0251, device='cuda:0')
2019-05-18 19:37:56,731 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 86, layer number 30, loss= tensor(0.0247, device='cuda:0')
2019-05-18 19:47:05,191 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 87, layer number 30, loss= tensor(0.0248, device='cuda:0')
2019-05-18 19:56:31,047 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 88, layer number 30, loss= tensor(0.0241, device='cuda:0')
2019-05-18 20:06:08,222 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 89, layer number 30, loss= tensor(0.0235, device='cuda:0')
2019-05-18 20:15:54,608 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 90, layer number 30, loss= tensor(0.0239, device='cuda:0')
2019-05-18 20:25:23,045 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 91, layer number 30, loss= tensor(0.0230, device='cuda:0')
2019-05-18 20:34:50,485 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 92, layer number 30, loss= tensor(0.0231, device='cuda:0')
2019-05-18 20:44:07,756 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 93, layer number 30, loss= tensor(0.0228, device='cuda:0')
2019-05-18 20:53:32,109 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 94, layer number 30, loss= tensor(0.0219, device='cuda:0')
2019-05-18 21:03:02,855 - matrix_completion.py[line:140] - INFO: measurement rate 0.39, epoch 95, layer number 30, loss= tensor(0.0221, device='cuda:0')
2019-05-18 21:35:12,858 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.0218, device='cuda:0')
2019-05-18 21:44:29,897 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 1, layer number 30, loss= tensor(0.0474, device='cuda:0')
2019-05-18 21:53:45,859 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 2, layer number 30, loss= tensor(0.0403, device='cuda:0')
2019-05-18 22:03:12,364 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 3, layer number 30, loss= tensor(0.0408, device='cuda:0')
2019-05-18 22:12:44,565 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 4, layer number 30, loss= tensor(0.0391, device='cuda:0')
2019-05-18 22:22:12,551 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 5, layer number 30, loss= tensor(0.0353, device='cuda:0')
2019-05-18 22:31:46,731 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 6, layer number 30, loss= tensor(0.0343, device='cuda:0')
2019-05-18 22:41:07,512 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 7, layer number 30, loss= tensor(0.0338, device='cuda:0')
2019-05-18 22:50:24,145 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 8, layer number 30, loss= tensor(0.0335, device='cuda:0')
2019-05-18 22:59:54,213 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 9, layer number 30, loss= tensor(0.0300, device='cuda:0')
2019-05-18 23:09:34,025 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 10, layer number 30, loss= tensor(0.0288, device='cuda:0')
2019-05-18 23:19:12,100 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 11, layer number 30, loss= tensor(0.0286, device='cuda:0')
2019-05-18 23:28:43,780 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 12, layer number 30, loss= tensor(0.0276, device='cuda:0')
2019-05-18 23:38:02,144 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 13, layer number 30, loss= tensor(0.0286, device='cuda:0')
2019-05-18 23:47:22,595 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 14, layer number 30, loss= tensor(0.0280, device='cuda:0')
2019-05-18 23:56:42,180 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 15, layer number 30, loss= tensor(0.0270, device='cuda:0')
2019-05-19 00:05:55,654 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 16, layer number 30, loss= tensor(0.0261, device='cuda:0')
2019-05-19 00:15:09,130 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 17, layer number 30, loss= tensor(0.0250, device='cuda:0')
2019-05-19 00:24:15,273 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 18, layer number 30, loss= tensor(0.0242, device='cuda:0')
2019-05-19 00:33:31,147 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 19, layer number 30, loss= tensor(0.0234, device='cuda:0')
2019-05-19 00:43:14,549 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 20, layer number 30, loss= tensor(0.0217, device='cuda:0')
2019-05-19 00:53:00,269 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 21, layer number 30, loss= tensor(0.0204, device='cuda:0')
2019-05-19 01:02:22,648 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 22, layer number 30, loss= tensor(0.0198, device='cuda:0')
2019-05-19 01:11:37,655 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 23, layer number 30, loss= tensor(0.0185, device='cuda:0')
2019-05-19 01:21:00,546 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 24, layer number 30, loss= tensor(0.0186, device='cuda:0')
2019-05-19 01:30:06,436 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 25, layer number 30, loss= tensor(0.0182, device='cuda:0')
2019-05-19 01:39:07,717 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 26, layer number 30, loss= tensor(0.0169, device='cuda:0')
2019-05-19 01:48:27,202 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 27, layer number 30, loss= tensor(0.0162, device='cuda:0')
2019-05-19 01:57:49,772 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 28, layer number 30, loss= tensor(0.0154, device='cuda:0')
2019-05-19 02:07:16,315 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 29, layer number 30, loss= tensor(0.0146, device='cuda:0')
2019-05-19 02:16:26,158 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 30, layer number 30, loss= tensor(0.0143, device='cuda:0')
2019-05-19 02:25:38,837 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 31, layer number 30, loss= tensor(0.0133, device='cuda:0')
2019-05-19 02:34:57,542 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 32, layer number 30, loss= tensor(0.0125, device='cuda:0')
2019-05-19 02:44:08,623 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 33, layer number 30, loss= tensor(0.0120, device='cuda:0')
2019-05-19 02:47:31,117 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 34, layer number 30, loss= tensor(0.0116, device='cuda:0')
2019-05-19 02:48:48,301 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 35, layer number 30, loss= tensor(0.0113, device='cuda:0')
2019-05-19 02:50:05,348 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 36, layer number 30, loss= tensor(0.0112, device='cuda:0')
2019-05-19 02:51:20,785 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 37, layer number 30, loss= tensor(0.0109, device='cuda:0')
2019-05-19 02:52:36,545 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 38, layer number 30, loss= tensor(0.0102, device='cuda:0')
2019-05-19 02:53:53,266 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 39, layer number 30, loss= tensor(0.0096, device='cuda:0')
2019-05-19 02:55:09,127 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 40, layer number 30, loss= tensor(0.0089, device='cuda:0')
2019-05-19 02:56:26,053 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 41, layer number 30, loss= tensor(0.0082, device='cuda:0')
2019-05-19 02:57:42,110 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 42, layer number 30, loss= tensor(0.0078, device='cuda:0')
2019-05-19 02:58:58,182 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 43, layer number 30, loss= tensor(0.0074, device='cuda:0')
2019-05-19 03:00:13,721 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 44, layer number 30, loss= tensor(0.0072, device='cuda:0')
2019-05-19 03:01:29,378 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 45, layer number 30, loss= tensor(0.0070, device='cuda:0')
2019-05-19 03:02:45,547 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 46, layer number 30, loss= tensor(0.0072, device='cuda:0')
2019-05-19 03:04:00,985 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 47, layer number 30, loss= tensor(0.0069, device='cuda:0')
2019-05-19 03:05:16,530 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 48, layer number 30, loss= tensor(0.0070, device='cuda:0')
2019-05-19 03:06:32,100 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 49, layer number 30, loss= tensor(0.0065, device='cuda:0')
2019-05-19 03:07:47,993 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 50, layer number 30, loss= tensor(0.0059, device='cuda:0')
2019-05-19 03:09:04,684 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 51, layer number 30, loss= tensor(0.0058, device='cuda:0')
2019-05-19 03:10:20,859 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 52, layer number 30, loss= tensor(0.0052, device='cuda:0')
2019-05-19 03:11:37,068 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 53, layer number 30, loss= tensor(0.0052, device='cuda:0')
2019-05-19 03:12:52,704 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 54, layer number 30, loss= tensor(0.0051, device='cuda:0')
2019-05-19 03:14:08,675 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 55, layer number 30, loss= tensor(0.0048, device='cuda:0')
2019-05-19 03:15:23,880 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 56, layer number 30, loss= tensor(0.0048, device='cuda:0')
2019-05-19 03:16:39,538 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 57, layer number 30, loss= tensor(0.0047, device='cuda:0')
2019-05-19 03:17:55,494 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 58, layer number 30, loss= tensor(0.0047, device='cuda:0')
2019-05-19 03:19:11,338 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 59, layer number 30, loss= tensor(0.0044, device='cuda:0')
2019-05-19 03:20:27,833 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 60, layer number 30, loss= tensor(0.0042, device='cuda:0')
2019-05-19 03:21:44,376 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 61, layer number 30, loss= tensor(0.0039, device='cuda:0')
2019-05-19 03:23:00,647 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 62, layer number 30, loss= tensor(0.0039, device='cuda:0')
2019-05-19 03:24:16,754 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 63, layer number 30, loss= tensor(0.0038, device='cuda:0')
2019-05-19 03:25:33,478 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 64, layer number 30, loss= tensor(0.0037, device='cuda:0')
2019-05-19 03:26:49,568 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 65, layer number 30, loss= tensor(0.0034, device='cuda:0')
2019-05-19 03:28:05,886 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 66, layer number 30, loss= tensor(0.0033, device='cuda:0')
2019-05-19 03:29:20,584 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 67, layer number 30, loss= tensor(0.0032, device='cuda:0')
2019-05-19 03:30:35,827 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 68, layer number 30, loss= tensor(0.0029, device='cuda:0')
2019-05-19 03:31:50,144 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 69, layer number 30, loss= tensor(0.0028, device='cuda:0')
2019-05-19 03:33:04,088 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 70, layer number 30, loss= tensor(0.0028, device='cuda:0')
2019-05-19 03:34:19,766 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 71, layer number 30, loss= tensor(0.0025, device='cuda:0')
2019-05-19 03:35:35,113 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 72, layer number 30, loss= tensor(0.0025, device='cuda:0')
2019-05-19 03:36:49,497 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 73, layer number 30, loss= tensor(0.0023, device='cuda:0')
2019-05-19 03:38:04,666 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 74, layer number 30, loss= tensor(0.0023, device='cuda:0')
2019-05-19 03:39:20,750 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 75, layer number 30, loss= tensor(0.0020, device='cuda:0')
2019-05-19 03:40:36,382 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 76, layer number 30, loss= tensor(0.0022, device='cuda:0')
2019-05-19 03:41:52,312 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 77, layer number 30, loss= tensor(0.0020, device='cuda:0')
2019-05-19 03:43:08,344 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 78, layer number 30, loss= tensor(0.0028, device='cuda:0')
2019-05-19 03:44:23,614 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 79, layer number 30, loss= tensor(0.0069, device='cuda:0')
2019-05-19 03:45:39,311 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 80, layer number 30, loss= tensor(0.0026, device='cuda:0')
2019-05-19 03:46:55,645 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 81, layer number 30, loss= tensor(0.0035, device='cuda:0')
2019-05-19 03:48:12,022 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 82, layer number 30, loss= tensor(0.0039, device='cuda:0')
2019-05-19 03:49:27,903 - matrix_completion.py[line:137] - INFO: measurement rate 0.39, epoch 83, layer number 30, loss= tensor(0.0061, device='cuda:0')
