2019-05-18 14:55:38,658 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.8176, device='cuda:0')
2019-05-18 16:55:05,119 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 14, layer number 30, loss= tensor(0.4406, device='cuda:0')
2019-05-18 17:04:18,769 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 15, layer number 30, loss= tensor(0.4380, device='cuda:0')
2019-05-18 17:13:18,120 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 16, layer number 30, loss= tensor(0.4320, device='cuda:0')
2019-05-18 17:23:24,094 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 17, layer number 30, loss= tensor(0.4287, device='cuda:0')
2019-05-18 17:32:20,615 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 18, layer number 30, loss= tensor(0.4272, device='cuda:0')
2019-05-18 17:41:32,978 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 19, layer number 30, loss= tensor(0.4237, device='cuda:0')
2019-05-18 17:50:34,798 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 20, layer number 30, loss= tensor(0.4188, device='cuda:0')
2019-05-18 17:59:40,789 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 21, layer number 30, loss= tensor(0.4133, device='cuda:0')
2019-05-18 18:08:26,538 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 22, layer number 30, loss= tensor(0.4153, device='cuda:0')
2019-05-18 18:17:02,839 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 23, layer number 30, loss= tensor(0.4116, device='cuda:0')
2019-05-18 18:25:45,433 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 24, layer number 30, loss= tensor(0.4088, device='cuda:0')
2019-05-18 18:34:21,159 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 25, layer number 30, loss= tensor(0.4059, device='cuda:0')
2019-05-18 18:43:03,485 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 26, layer number 30, loss= tensor(0.4052, device='cuda:0')
2019-05-18 18:51:36,350 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 27, layer number 30, loss= tensor(0.4061, device='cuda:0')
2019-05-18 19:00:52,721 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 28, layer number 30, loss= tensor(0.4034, device='cuda:0')
2019-05-18 19:09:53,232 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 29, layer number 30, loss= tensor(0.4060, device='cuda:0')
2019-05-18 19:18:38,546 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 30, layer number 30, loss= tensor(0.4124, device='cuda:0')
2019-05-18 19:27:21,505 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 31, layer number 30, loss= tensor(0.4832, device='cuda:0')
2019-05-18 19:35:52,337 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 32, layer number 30, loss= tensor(0.4795, device='cuda:0')
2019-05-18 19:44:24,481 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 33, layer number 30, loss= tensor(0.4362, device='cuda:0')
2019-05-18 19:53:12,649 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 34, layer number 30, loss= tensor(0.4050, device='cuda:0')
2019-05-18 20:02:26,662 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 35, layer number 30, loss= tensor(0.4076, device='cuda:0')
2019-05-18 20:11:41,879 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 36, layer number 30, loss= tensor(0.4096, device='cuda:0')
2019-05-18 20:20:47,552 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 37, layer number 30, loss= tensor(0.4113, device='cuda:0')
2019-05-18 20:29:30,448 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 38, layer number 30, loss= tensor(0.4071, device='cuda:0')
2019-05-18 20:38:22,275 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 39, layer number 30, loss= tensor(0.3968, device='cuda:0')
2019-05-18 20:46:59,574 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 40, layer number 30, loss= tensor(0.3977, device='cuda:0')
2019-05-18 20:55:41,198 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 41, layer number 30, loss= tensor(0.3962, device='cuda:0')
2019-05-18 21:04:31,570 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 42, layer number 30, loss= tensor(0.3956, device='cuda:0')
2019-05-18 21:09:06,977 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 43, layer number 30, loss= tensor(0.3874, device='cuda:0')
2019-05-18 21:10:14,244 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 44, layer number 30, loss= tensor(0.3770, device='cuda:0')
2019-05-18 21:11:21,204 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 45, layer number 30, loss= tensor(0.3678, device='cuda:0')
2019-05-18 21:12:27,331 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 46, layer number 30, loss= tensor(0.3625, device='cuda:0')
2019-05-18 21:13:33,194 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 47, layer number 30, loss= tensor(0.3593, device='cuda:0')
2019-05-18 21:14:38,715 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 48, layer number 30, loss= tensor(0.3515, device='cuda:0')
2019-05-18 21:15:45,257 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 49, layer number 30, loss= tensor(0.3397, device='cuda:0')
2019-05-18 21:16:52,029 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 50, layer number 30, loss= tensor(0.3301, device='cuda:0')
2019-05-18 21:17:58,235 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 51, layer number 30, loss= tensor(0.3239, device='cuda:0')
2019-05-18 21:19:05,000 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 52, layer number 30, loss= tensor(0.3099, device='cuda:0')
2019-05-18 21:20:12,163 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 53, layer number 30, loss= tensor(0.3041, device='cuda:0')
2019-05-18 21:21:18,338 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 54, layer number 30, loss= tensor(0.2976, device='cuda:0')
2019-05-18 21:22:26,925 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 55, layer number 30, loss= tensor(0.2942, device='cuda:0')
2019-05-18 21:23:36,448 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 56, layer number 30, loss= tensor(0.2860, device='cuda:0')
2019-05-18 21:24:44,811 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 57, layer number 30, loss= tensor(0.2881, device='cuda:0')
2019-05-18 21:25:56,902 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 58, layer number 30, loss= tensor(0.2832, device='cuda:0')
2019-05-18 21:35:15,775 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 59, layer number 30, loss= tensor(0.2808, device='cuda:0')
2019-05-18 21:44:33,544 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 60, layer number 30, loss= tensor(0.2764, device='cuda:0')
2019-05-18 21:53:49,730 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 61, layer number 30, loss= tensor(0.2690, device='cuda:0')
2019-05-18 22:03:14,558 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 62, layer number 30, loss= tensor(0.2688, device='cuda:0')
2019-05-18 22:12:44,688 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 63, layer number 30, loss= tensor(0.2656, device='cuda:0')
2019-05-18 22:22:10,461 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 64, layer number 30, loss= tensor(0.2579, device='cuda:0')
2019-05-18 22:31:21,824 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 65, layer number 30, loss= tensor(0.2518, device='cuda:0')
2019-05-18 22:40:10,650 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 66, layer number 30, loss= tensor(0.2489, device='cuda:0')
2019-05-18 22:48:59,350 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 67, layer number 30, loss= tensor(0.2473, device='cuda:0')
2019-05-18 22:57:55,292 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 68, layer number 30, loss= tensor(0.2413, device='cuda:0')
2019-05-18 23:07:12,616 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 69, layer number 30, loss= tensor(0.2391, device='cuda:0')
2019-05-18 23:16:30,230 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 70, layer number 30, loss= tensor(0.2315, device='cuda:0')
2019-05-18 23:25:24,072 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 71, layer number 30, loss= tensor(0.2251, device='cuda:0')
2019-05-18 23:34:03,592 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 72, layer number 30, loss= tensor(0.2184, device='cuda:0')
2019-05-18 23:42:52,920 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 73, layer number 30, loss= tensor(0.2101, device='cuda:0')
2019-05-18 23:51:39,355 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 74, layer number 30, loss= tensor(0.2042, device='cuda:0')
2019-05-19 00:00:33,739 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 75, layer number 30, loss= tensor(0.1971, device='cuda:0')
2019-05-19 00:09:21,423 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 76, layer number 30, loss= tensor(0.1989, device='cuda:0')
2019-05-19 00:18:15,515 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 77, layer number 30, loss= tensor(0.1947, device='cuda:0')
2019-05-19 00:26:54,966 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 78, layer number 30, loss= tensor(0.1929, device='cuda:0')
2019-05-19 00:35:45,906 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 79, layer number 30, loss= tensor(0.1908, device='cuda:0')
2019-05-19 00:45:05,089 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 80, layer number 30, loss= tensor(0.1923, device='cuda:0')
2019-05-19 00:54:03,002 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 81, layer number 30, loss= tensor(0.1925, device='cuda:0')
2019-05-19 01:02:55,906 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 82, layer number 30, loss= tensor(0.1911, device='cuda:0')
2019-05-19 01:12:11,798 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 83, layer number 30, loss= tensor(0.1863, device='cuda:0')
2019-05-19 01:21:31,383 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 84, layer number 30, loss= tensor(0.1864, device='cuda:0')
2019-05-19 01:30:23,314 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 85, layer number 30, loss= tensor(0.1827, device='cuda:0')
2019-05-19 01:39:11,238 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 86, layer number 30, loss= tensor(0.1809, device='cuda:0')
2019-05-19 01:48:27,806 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 87, layer number 30, loss= tensor(0.1753, device='cuda:0')
2019-05-19 01:57:47,772 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 88, layer number 30, loss= tensor(0.1786, device='cuda:0')
2019-05-19 02:06:56,476 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 89, layer number 30, loss= tensor(0.1733, device='cuda:0')
2019-05-19 02:15:48,143 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 90, layer number 30, loss= tensor(0.1690, device='cuda:0')
2019-05-19 02:24:48,096 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 91, layer number 30, loss= tensor(0.1697, device='cuda:0')
2019-05-19 02:33:36,820 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 92, layer number 30, loss= tensor(0.1680, device='cuda:0')
2019-05-19 02:42:14,894 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 93, layer number 30, loss= tensor(0.1652, device='cuda:0')
2019-05-19 09:37:57,545 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.1637, device='cuda:0')
2019-05-19 09:39:05,313 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 1, layer number 30, loss= tensor(0.2190, device='cuda:0')
2019-05-19 09:40:10,681 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 2, layer number 30, loss= tensor(0.3140, device='cuda:0')
2019-05-19 09:41:19,616 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 3, layer number 30, loss= tensor(0.1821, device='cuda:0')
2019-05-19 09:46:52,436 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 4, layer number 30, loss= tensor(0.2344, device='cuda:0')
2019-05-19 09:55:27,753 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 5, layer number 30, loss= tensor(0.2508, device='cuda:0')
2019-05-19 10:03:57,205 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 6, layer number 30, loss= tensor(0.2276, device='cuda:0')
2019-05-19 10:13:03,820 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 7, layer number 30, loss= tensor(0.1869, device='cuda:0')
2019-05-19 10:22:18,977 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 8, layer number 30, loss= tensor(0.1703, device='cuda:0')
2019-05-19 10:31:27,906 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 9, layer number 30, loss= tensor(0.1932, device='cuda:0')
2019-05-19 10:40:28,443 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 10, layer number 30, loss= tensor(0.1853, device='cuda:0')
2019-05-19 10:49:56,581 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 11, layer number 30, loss= tensor(0.1608, device='cuda:0')
2019-05-19 10:59:20,208 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 12, layer number 30, loss= tensor(0.1866, device='cuda:0')
2019-05-19 11:08:05,438 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 13, layer number 30, loss= tensor(0.1736, device='cuda:0')
2019-05-19 11:16:55,433 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 14, layer number 30, loss= tensor(0.1639, device='cuda:0')
2019-05-19 11:26:26,541 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 15, layer number 30, loss= tensor(0.1656, device='cuda:0')
2019-05-19 11:35:58,458 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 16, layer number 30, loss= tensor(0.1664, device='cuda:0')
2019-05-19 11:45:17,989 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 17, layer number 30, loss= tensor(0.1552, device='cuda:0')
2019-05-19 11:54:29,811 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 18, layer number 30, loss= tensor(0.1544, device='cuda:0')
2019-05-19 12:03:48,836 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 19, layer number 30, loss= tensor(0.1507, device='cuda:0')
2019-05-19 12:13:17,416 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 20, layer number 30, loss= tensor(0.1438, device='cuda:0')
2019-05-19 12:22:36,663 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 21, layer number 30, loss= tensor(0.1405, device='cuda:0')
2019-05-19 12:32:09,454 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 22, layer number 30, loss= tensor(0.1358, device='cuda:0')
2019-05-19 12:41:25,660 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 23, layer number 30, loss= tensor(0.1380, device='cuda:0')
2019-05-19 12:50:24,349 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 24, layer number 30, loss= tensor(0.1490, device='cuda:0')
2019-05-19 12:59:36,148 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 25, layer number 30, loss= tensor(0.1349, device='cuda:0')
2019-05-19 13:09:07,638 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 26, layer number 30, loss= tensor(0.1314, device='cuda:0')
2019-05-19 13:18:06,517 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 27, layer number 30, loss= tensor(0.1340, device='cuda:0')
2019-05-19 13:27:05,392 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 28, layer number 30, loss= tensor(0.1324, device='cuda:0')
2019-05-19 13:36:06,454 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 29, layer number 30, loss= tensor(0.1337, device='cuda:0')
2019-05-19 13:45:19,989 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 30, layer number 30, loss= tensor(0.1370, device='cuda:0')
2019-05-19 13:54:12,926 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 31, layer number 30, loss= tensor(0.1358, device='cuda:0')
2019-05-19 14:03:04,244 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 32, layer number 30, loss= tensor(0.1214, device='cuda:0')
2019-05-19 14:12:06,174 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 33, layer number 30, loss= tensor(0.1217, device='cuda:0')
2019-05-19 14:21:03,125 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 34, layer number 30, loss= tensor(0.1281, device='cuda:0')
2019-05-19 14:29:59,868 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 35, layer number 30, loss= tensor(0.1356, device='cuda:0')
2019-05-19 14:39:00,672 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 36, layer number 30, loss= tensor(0.1288, device='cuda:0')
2019-05-19 14:47:58,982 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 37, layer number 30, loss= tensor(0.1240, device='cuda:0')
2019-05-19 14:57:16,100 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 38, layer number 30, loss= tensor(0.1220, device='cuda:0')
2019-05-19 15:06:35,217 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 39, layer number 30, loss= tensor(0.1197, device='cuda:0')
2019-05-19 15:16:10,195 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 40, layer number 30, loss= tensor(0.1277, device='cuda:0')
2019-05-19 15:25:20,049 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 41, layer number 30, loss= tensor(0.1296, device='cuda:0')
2019-05-19 15:34:23,022 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 42, layer number 30, loss= tensor(0.1277, device='cuda:0')
2019-05-19 15:43:46,294 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 43, layer number 30, loss= tensor(0.1285, device='cuda:0')
2019-05-19 15:53:13,679 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 44, layer number 30, loss= tensor(0.1189, device='cuda:0')
2019-05-19 16:30:19,259 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 0, layer number 30, loss= tensor(0.1212, device='cuda:0')
2019-05-19 16:39:09,741 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 1, layer number 30, loss= tensor(1.5824, device='cuda:0')
2019-05-19 16:48:17,552 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 2, layer number 30, loss= tensor(0.3000, device='cuda:0')
2019-05-19 16:57:13,883 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 3, layer number 30, loss= tensor(0.3508, device='cuda:0')
2019-05-19 17:06:17,238 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 4, layer number 30, loss= tensor(0.3814, device='cuda:0')
2019-05-19 17:15:14,985 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 5, layer number 30, loss= tensor(0.4325, device='cuda:0')
2019-05-19 17:24:11,646 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 6, layer number 30, loss= tensor(0.4746, device='cuda:0')
2019-05-19 17:33:21,181 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 7, layer number 30, loss= tensor(0.5030, device='cuda:0')
2019-05-19 17:42:18,794 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 8, layer number 30, loss= tensor(0.5136, device='cuda:0')
2019-05-19 17:51:23,730 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 9, layer number 30, loss= tensor(0.5138, device='cuda:0')
2019-05-19 18:00:23,217 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 10, layer number 30, loss= tensor(0.5023, device='cuda:0')
2019-05-19 18:09:38,619 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 11, layer number 30, loss= tensor(0.4912, device='cuda:0')
2019-05-19 18:19:14,077 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 12, layer number 30, loss= tensor(0.4791, device='cuda:0')
2019-05-19 18:28:32,943 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 13, layer number 30, loss= tensor(0.4669, device='cuda:0')
2019-05-19 18:37:29,402 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 14, layer number 30, loss= tensor(0.4586, device='cuda:0')
2019-05-19 18:46:17,358 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 15, layer number 30, loss= tensor(0.4588, device='cuda:0')
2019-05-19 18:55:06,922 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 16, layer number 30, loss= tensor(0.4640, device='cuda:0')
2019-05-19 19:03:58,015 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 17, layer number 30, loss= tensor(0.4713, device='cuda:0')
2019-05-19 19:12:49,399 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 18, layer number 30, loss= tensor(0.4797, device='cuda:0')
2019-05-19 19:22:05,921 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 19, layer number 30, loss= tensor(0.4813, device='cuda:0')
2019-05-19 19:30:57,348 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 20, layer number 30, loss= tensor(0.4784, device='cuda:0')
2019-05-19 19:39:53,693 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 21, layer number 30, loss= tensor(0.4722, device='cuda:0')
2019-05-19 19:48:50,303 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 22, layer number 30, loss= tensor(0.4678, device='cuda:0')
2019-05-19 19:57:39,468 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 23, layer number 30, loss= tensor(0.4600, device='cuda:0')
2019-05-19 20:06:48,555 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 24, layer number 30, loss= tensor(0.4607, device='cuda:0')
2019-05-19 20:16:14,966 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 25, layer number 30, loss= tensor(0.4621, device='cuda:0')
2019-05-19 20:25:40,949 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 26, layer number 30, loss= tensor(0.4669, device='cuda:0')
2019-05-19 20:34:58,996 - matrix_completion_ill_condition.py[line:142] - INFO: measurement rate 0.39, epoch 27, layer number 30, loss= tensor(0.4655, device='cuda:0')
